#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
GeneID:31	ENSG00000278540.5	HGNC:84	ACACA	acetyl-CoA carboxylase alpha	NM_198834.3	NP_942131.1	ENST00000616317.5	ENSP00000483300.1	MANE Select	NC_000017.11	37084992	37406836	-
GeneID:32	ENSG00000076555.16	HGNC:85	ACACB	acetyl-CoA carboxylase beta	NM_001093.4	NP_001084.3	ENST00000338432.12	ENSP00000341044.7	MANE Select	NC_000012.12	109116587	109268226	+
GeneID:33	ENSG00000115361.8	HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	NM_001608.4	NP_001599.1	ENST00000233710.4	ENSP00000233710.3	MANE Select	NC_000002.12	210187923	210225447	-
GeneID:34	ENSG00000117054.15	HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	NM_000016.6	NP_000007.1	ENST00000370841.9	ENSP00000359878.5	MANE Select	NC_000001.11	75724709	75763679	+
GeneID:35	ENSG00000122971.9	HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	NM_000017.4	NP_000008.1	ENST00000242592.9	ENSP00000242592.4	MANE Select	NC_000012.12	120725826	120740008	+
GeneID:36	ENSG00000196177.13	HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	NM_001609.4	NP_001600.1	ENST00000358776.7	ENSP00000357873.3	MANE Select	NC_000010.11	123009006	123058290	+
GeneID:37	ENSG00000072778.20	HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	NM_000018.4	NP_000009.1	ENST00000356839.10	ENSP00000349297.5	MANE Select	NC_000017.11	7219938	7225266	+
GeneID:38	ENSG00000075239.15	HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	NM_000019.4	NP_000010.1	ENST00000265838.9	ENSP00000265838.4	MANE Select	NC_000011.10	108121567	108147603	+
GeneID:39	ENSG00000120437.9	HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	NM_005891.3	NP_005882.2	ENST00000367048.5	ENSP00000356015.4	MANE Select	NC_000006.12	159762045	159779112	+
GeneID:40	ENSG00000108684.15	HGNC:99	ASIC2	acid sensing ion channel subunit 2	NM_183377.2	NP_899233.1	ENST00000225823.7	ENSP00000225823.2	MANE Select	NC_000017.11	33013087	33293295	-
GeneID:41	ENSG00000110881.12	HGNC:100	ASIC1	acid sensing ion channel subunit 1	NM_001095.4	NP_001086.2	ENST00000447966.7	ENSP00000400228.3	MANE Select	NC_000012.12	50057596	50083611	+
GeneID:43	ENSG00000087085.16	HGNC:108	ACHE	acetylcholinesterase (Yt blood group)	NM_000665.5	NP_000656.1	ENST00000241069.11	ENSP00000241069.5	MANE Select	NC_000007.14	100889994	100895888	-
GeneID:47	ENSG00000131473.17	HGNC:115	ACLY	ATP citrate lyase	NM_001096.3	NP_001087.2	ENST00000352035.7	ENSP00000253792.2	MANE Select	NC_000017.11	41866918	41918951	-
GeneID:48	ENSG00000122729.19	HGNC:117	ACO1	aconitase 1	NM_002197.3	NP_002188.1	ENST00000309951.8	ENSP00000309477.5	MANE Select	NC_000009.12	32384643	32454769	+
GeneID:49	ENSG00000100312.11	HGNC:126	ACR	acrosin	NM_001097.3	NP_001088.2	ENST00000216139.10	ENSP00000216139.5	MANE Select	NC_000022.11	50738204	50745339	+
GeneID:50	ENSG00000100412.17	HGNC:118	ACO2	aconitase 2	NM_001098.3	NP_001089.1	ENST00000216254.9	ENSP00000216254.4	MANE Select	NC_000022.11	41469117	41528974	+
GeneID:51	ENSG00000161533.12	HGNC:119	ACOX1	acyl-CoA oxidase 1	NM_004035.7	NP_004026.2	ENST00000293217.10	ENSP00000293217.4	MANE Select	NC_000017.11	75941507	75979166	-
GeneID:52	ENSG00000143727.16	HGNC:122	ACP1	acid phosphatase 1	NM_004300.4	NP_004291.1	ENST00000272065.10	ENSP00000272065.5	MANE Select	NC_000002.12	264947	278283	+
GeneID:53	ENSG00000134575.13	HGNC:123	ACP2	acid phosphatase 2, lysosomal	NM_001610.4	NP_001601.1	ENST00000672073.1	ENSP00000500291.1	MANE Select	NC_000011.10	47239302	47248814	-
GeneID:54	ENSG00000102575.14	HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	NM_001611.5	NP_001602.1	ENST00000648477.1	ENSP00000496973.1	MANE Select	NC_000019.10	11574660	11577645	-
GeneID:55	ENSG00000014257.17	HGNC:125	ACP3	acid phosphatase 3	NM_001099.5	NP_001090.2	ENST00000336375.10	ENSP00000337471.5	MANE Select	NC_000003.12	132317407	132358841	+
GeneID:56	ENSG00000134940.14	HGNC:127	ACRV1	acrosomal vesicle protein 1	NM_001612.6	NP_001603.1	ENST00000533904.6	ENSP00000432816.1	MANE Select	NC_000011.10	125671522	125680847	-
GeneID:58	ENSG00000143632.15	HGNC:129	ACTA1	actin alpha 1, skeletal muscle	NM_001100.4	NP_001091.1	ENST00000366684.7	ENSP00000355645.3	MANE Select	NC_000001.11	229431245	229434094	-
GeneID:59	ENSG00000107796.14	HGNC:130	ACTA2	actin alpha 2, smooth muscle	NM_001613.4	NP_001604.1	ENST00000224784.10	ENSP00000224784.6	MANE Select	NC_000010.11	88935074	88952773	-
GeneID:60	ENSG00000075624.17	HGNC:132	ACTB	actin beta	NM_001101.5	NP_001092.1	ENST00000646664.1	ENSP00000494750.1	MANE Select	NC_000007.14	5527148	5530601	-
GeneID:70	ENSG00000159251.10	HGNC:143	ACTC1	actin alpha cardiac muscle 1	NM_005159.5	NP_005150.1	ENST00000290378.6	ENSP00000290378.4	MANE Select	NC_000015.10	34790230	34795549	-
GeneID:71	ENSG00000184009.13	HGNC:144	ACTG1	actin gamma 1	NM_001614.5	NP_001605.1	ENST00000573283.7	ENSP00000458435.1	MANE Select	NC_000017.11	81509971	81512799	-
GeneID:72	ENSG00000163017.14	HGNC:145	ACTG2	actin gamma 2, smooth muscle	NM_001615.4	NP_001606.1	ENST00000345517.8	ENSP00000295137.3	MANE Select	NC_000002.12	73893008	73919865	+
GeneID:81	ENSG00000130402.14	HGNC:166	ACTN4	actinin alpha 4	NM_004924.6	NP_004915.2	ENST00000252699.7	ENSP00000252699.2	MANE Select	NC_000019.10	38647649	38731589	+
GeneID:86	ENSG00000136518.17	HGNC:24124	ACTL6A	actin like 6A	NM_004301.5	NP_004292.1	ENST00000429709.7	ENSP00000397552.2	MANE Select	NC_000003.12	179562926	179588407	+
GeneID:87	ENSG00000072110.17	HGNC:163	ACTN1	actinin alpha 1	NM_001130004.2	NP_001123476.1	ENST00000394419.9	ENSP00000377941.4	MANE Select	NC_000014.9	68874128	68979302	-
GeneID:88	ENSG00000077522.15	HGNC:164	ACTN2	actinin alpha 2	NM_001103.4	NP_001094.1	ENST00000366578.6	ENSP00000355537.4	MANE Select	NC_000001.11	236686499	236764631	+
GeneID:89	ENSG00000248746.6	HGNC:165	ACTN3	actinin alpha 3	NM_001104.4	NP_001095.2	ENST00000513398.2	ENSP00000426797.1	MANE Select	NC_000011.10	66546903	66563334	+
GeneID:90	ENSG00000115170.16	HGNC:171	ACVR1	activin A receptor type 1	NM_001111067.4	NP_001104537.1	ENST00000434821.7	ENSP00000405004.1	MANE Select	NC_000002.12	157736446	157876330	-
GeneID:91	ENSG00000135503.13	HGNC:172	ACVR1B	activin A receptor type 1B	NM_004302.5	NP_004293.1	ENST00000257963.9	ENSP00000257963.4	MANE Select	NC_000012.12	51951699	51997078	+
GeneID:92	ENSG00000121989.15	HGNC:173	ACVR2A	activin A receptor type 2A	NM_001616.5	NP_001607.1	ENST00000241416.12	ENSP00000241416.7	MANE Select	NC_000002.12	147845029	147930822	+
GeneID:93	ENSG00000114739.14	HGNC:174	ACVR2B	activin A receptor type 2B	NM_001106.4	NP_001097.2	ENST00000352511.5	ENSP00000340361.3	MANE Select	NC_000003.12	38453890	38493142	+
GeneID:94	ENSG00000139567.14	HGNC:175	ACVRL1	activin A receptor like type 1	NM_000020.3	NP_000011.2	ENST00000388922.9	ENSP00000373574.4	MANE Select	NC_000012.12	51907504	51923361	+
GeneID:95	ENSG00000243989.9	HGNC:177	ACY1	aminoacylase 1	NM_000666.3	NP_000657.1	ENST00000636358.2	ENSP00000490149.1	MANE Select	NC_000003.12	51983535	51989197	+
GeneID:97	ENSG00000119640.9	HGNC:179	ACYP1	acylphosphatase 1	NM_001107.5	NP_001098.1	ENST00000238618.8	ENSP00000238618.3	MANE Select	NC_000014.9	75053243	75064024	-
GeneID:98	ENSG00000170634.13	HGNC:180	ACYP2	acylphosphatase 2	NM_138448.4	NP_612457.1	ENST00000394666.9	ENSP00000378161.3	MANE Select	NC_000002.12	54115615	54305300	+
GeneID:100	ENSG00000196839.14	HGNC:186	ADA	adenosine deaminase	NM_000022.4	NP_000013.2	ENST00000372874.9	ENSP00000361965.4	MANE Select	NC_000020.11	44619522	44651699	-
GeneID:101	ENSG00000151651.16	HGNC:215	ADAM8	ADAM metallopeptidase domain 8	NM_001109.5	NP_001100.3	ENST00000445355.8	ENSP00000453302.1	MANE Select	NC_000010.11	133262423	133276868	-
GeneID:102	ENSG00000137845.15	HGNC:188	ADAM10	ADAM metallopeptidase domain 10	NM_001110.4	NP_001101.1	ENST00000260408.8	ENSP00000260408.3	MANE Select	NC_000015.10	58588809	58749707	-
GeneID:103	ENSG00000160710.19	HGNC:225	ADAR	adenosine deaminase RNA specific	NM_001111.5	NP_001102.3	ENST00000368474.9	ENSP00000357459.4	MANE Select	NC_000001.11	154582057	154608186	-
GeneID:104	ENSG00000197381.18	HGNC:226	ADARB1	adenosine deaminase RNA specific B1	NM_001112.4	NP_001103.1	ENST00000348831.9	ENSP00000015877.6	MANE Select	NC_000021.9	45074580	45226560	+
GeneID:105	ENSG00000185736.16	HGNC:227	ADARB2	adenosine deaminase RNA specific B2 (inactive)	NM_018702.4	NP_061172.1	ENST00000381312.6	ENSP00000370713.1	MANE Select	NC_000010.11	1177313	1737525	-
GeneID:107	ENSG00000164742.16	HGNC:232	ADCY1	adenylate cyclase 1	NM_021116.4	NP_066939.1	ENST00000297323.12	ENSP00000297323.7	MANE Select	NC_000007.14	45574368	45723116	+
GeneID:108	ENSG00000078295.17	HGNC:233	ADCY2	adenylate cyclase 2	NM_020546.3	NP_065433.2	ENST00000338316.9	ENSP00000342952.4	MANE Select	NC_000005.10	7396138	7830081	+
GeneID:109	ENSG00000138031.15	HGNC:234	ADCY3	adenylate cyclase 3	NM_004036.5	NP_004027.2	ENST00000679454.1	ENSP00000505261.1	MANE Select	NC_000002.12	24819169	24920237	-
GeneID:111	ENSG00000173175.17	HGNC:236	ADCY5	adenylate cyclase 5	NM_183357.3	NP_899200.1	ENST00000462833.6	ENSP00000419361.1	MANE Select	NC_000003.12	123282296	123449090	-
GeneID:112	ENSG00000174233.12	HGNC:237	ADCY6	adenylate cyclase 6	NM_015270.5	NP_056085.1	ENST00000357869.8	ENSP00000350536.4	MANE Select	NC_000012.12	48766194	48789089	-
GeneID:113	ENSG00000121281.13	HGNC:238	ADCY7	adenylate cyclase 7	NM_001114.5	NP_001105.1	ENST00000673801.1	ENSP00000501053.1	MANE Select	NC_000016.10	50266551	50318135	+
GeneID:114	ENSG00000155897.10	HGNC:239	ADCY8	adenylate cyclase 8	NM_001115.3	NP_001106.1	ENST00000286355.10	ENSP00000286355.5	MANE Select	NC_000008.11	130780301	131040909	-
GeneID:115	ENSG00000162104.10	HGNC:240	ADCY9	adenylate cyclase 9	NM_001116.4	NP_001107.2	ENST00000294016.8	ENSP00000294016.3	MANE Select	NC_000016.10	3962653	4116442	-
GeneID:116	ENSG00000141433.13	HGNC:241	ADCYAP1	adenylate cyclase activating polypeptide 1	NM_001099733.2	NP_001093203.1	ENST00000450565.8	ENSP00000411658.3	MANE Select	NC_000018.10	904871	912172	+
GeneID:117	ENSG00000078549.16	HGNC:242	ADCYAP1R1	ADCYAP receptor type I	NM_001118.5	NP_001109.2	ENST00000304166.9	ENSP00000306620.4	MANE Select	NC_000007.14	31052308	31111474	+
GeneID:118	ENSG00000087274.19	HGNC:243	ADD1	adducin 1	NM_001354761.2	NP_001341690.1	ENST00000683351.1	ENSP00000508142.1	MANE Select	NC_000004.12	2843844	2930062	+
GeneID:119	ENSG00000075340.23	HGNC:244	ADD2	adducin 2	NM_001617.4	NP_001608.1	ENST00000264436.9	ENSP00000264436.3	MANE Select	NC_000002.12	70656784	70768200	-
GeneID:120	ENSG00000148700.15	HGNC:245	ADD3	adducin 3	NM_016824.5	NP_058432.1	ENST00000356080.9	ENSP00000348381.4	MANE Select	NC_000010.11	110007984	110135565	+
GeneID:123	ENSG00000147872.10	HGNC:248	PLIN2	perilipin 2	NM_001122.4	NP_001113.2	ENST00000276914.7	ENSP00000276914.2	MANE Select	NC_000009.12	19115761	19127492	-
GeneID:124	ENSG00000187758.8	HGNC:249	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	NM_000667.4	NP_000658.1	ENST00000209668.3	ENSP00000209668.2	MANE Select	NC_000004.12	99276369	99290985	-
GeneID:125	ENSG00000196616.15	HGNC:250	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	NM_000668.6	NP_000659.2	ENST00000305046.13	ENSP00000306606.8	MANE Select	NC_000004.12	99304971	99321401	-
GeneID:126	ENSG00000248144.6	HGNC:251	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	NM_000669.5	NP_000660.1	ENST00000515683.6	ENSP00000426083.1	MANE Select	NC_000004.12	99336497	99352746	-
GeneID:127	ENSG00000198099.10	HGNC:252	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	NM_000670.5	NP_000661.2	ENST00000265512.12	ENSP00000265512.7	MANE Select	NC_000004.12	99123658	99144297	-
GeneID:128	ENSG00000197894.12	HGNC:253	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	NM_000671.4	NP_000662.3	ENST00000296412.14	ENSP00000296412.8	MANE Select	NC_000004.12	99070978	99088788	-
GeneID:130	ENSG00000172955.17	HGNC:255	ADH6	alcohol dehydrogenase 6 (class V)	NM_001102470.2	NP_001095940.1	ENST00000394899.6	ENSP00000378359.2	MANE Select	NC_000004.12	99202639	99219246	-
GeneID:131	ENSG00000196344.12	HGNC:256	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	NM_000673.7	NP_000664.3	ENST00000437033.7	ENSP00000414254.2	MANE Select	NC_000004.12	99412263	99435342	-
GeneID:132	ENSG00000156110.15	HGNC:257	ADK	adenosine kinase	NM_006721.4	NP_006712.2	ENST00000539909.6	ENSP00000443965.2	MANE Select	NC_000010.11	74151221	74709290	+
GeneID:133	ENSG00000148926.10	HGNC:259	ADM	adrenomedullin	NM_001124.3	NP_001115.1	ENST00000278175.10	ENSP00000278175.5	MANE Select	NC_000011.10	10305073	10307397	+
GeneID:134	ENSG00000163485.18	HGNC:262	ADORA1	adenosine A1 receptor	NM_000674.3	NP_000665.1	ENST00000337894.9	ENSP00000338435.4	MANE Select	NC_000001.11	203127726	203167405	+
GeneID:135	ENSG00000128271.22	HGNC:263	ADORA2A	adenosine A2a receptor	NM_000675.6	NP_000666.2	ENST00000337539.12	ENSP00000336630.6	MANE Select	NC_000022.11	24427599	24442357	+
GeneID:136	ENSG00000170425.4	HGNC:264	ADORA2B	adenosine A2b receptor	NM_000676.4	NP_000667.1	ENST00000304222.3	ENSP00000304501.2	MANE Select	NC_000017.11	15945130	15975746	+
GeneID:140	ENSG00000282608.2	HGNC:268	ADORA3	adenosine A3 receptor	NM_000677.4	NP_000668.1	ENST00000241356.5	ENSP00000241356.4	MANE Select	NC_000001.11	111499429	111503633	-
GeneID:141	ENSG00000144843.12	HGNC:269	ADPRH	ADP-ribosylarginine hydrolase	NM_001125.4	NP_001116.1	ENST00000357003.8	ENSP00000349496.3	MANE Select	NC_000003.12	119579492	119589945	+
GeneID:142	ENSG00000143799.14	HGNC:270	PARP1	poly(ADP-ribose) polymerase 1	NM_001618.4	NP_001609.2	ENST00000366794.10	ENSP00000355759.5	MANE Select	NC_000001.11	226360691	226408093	-
GeneID:143	ENSG00000102699.6	HGNC:271	PARP4	poly(ADP-ribose) polymerase family member 4	NM_006437.4	NP_006428.2	ENST00000381989.4	ENSP00000371419.3	MANE Select	NC_000013.11	24420931	24512778	-
GeneID:146	ENSG00000171873.8	HGNC:280	ADRA1D	adrenoceptor alpha 1D	NM_000678.4	NP_000669.1	ENST00000379453.6	ENSP00000368766.4	MANE Select	NC_000020.11	4220630	4249287	-
GeneID:147	ENSG00000170214.5	HGNC:278	ADRA1B	adrenoceptor alpha 1B	NM_000679.4	NP_000670.1	ENST00000306675.5	ENSP00000306662.3	MANE Select	NC_000005.10	159916482	159973012	+
GeneID:148	ENSG00000120907.18	HGNC:277	ADRA1A	adrenoceptor alpha 1A	NM_000680.4	NP_000671.2	ENST00000380573.4	ENSP00000369947.3	MANE Select	NC_000008.11	26768809	26867278	-
GeneID:150	ENSG00000150594.7	HGNC:281	ADRA2A	adrenoceptor alpha 2A	NM_000681.4	NP_000672.3	ENST00000280155.4	ENSP00000280155.2	MANE Select	NC_000010.11	111077029	111080907	+
GeneID:151	ENSG00000274286.2	HGNC:282	ADRA2B	adrenoceptor alpha 2B	NM_000682.7	NP_000673.2	ENST00000620793.2	ENSP00000480573.1	MANE Select	NC_000002.12	96112876	96116571	-
GeneID:152	ENSG00000184160.8	HGNC:283	ADRA2C	adrenoceptor alpha 2C	NM_000683.4	NP_000674.2	ENST00000330055.7	ENSP00000386069.2	MANE Select	NC_000004.12	3766385	3768526	+
GeneID:153	ENSG00000043591.6	HGNC:285	ADRB1	adrenoceptor beta 1	NM_000684.3	NP_000675.1	ENST00000369295.4	ENSP00000358301.2	MANE Select	NC_000010.11	114043866	114046904	+
GeneID:154	ENSG00000169252.6	HGNC:286	ADRB2	adrenoceptor beta 2	NM_000024.6	NP_000015.2	ENST00000305988.6	ENSP00000305372.4	MANE Select	NC_000005.10	148826611	148828623	+
GeneID:155	ENSG00000188778.6	HGNC:288	ADRB3	adrenoceptor beta 3	NM_000025.3	NP_000016.1	ENST00000345060.5	ENSP00000343782.3	MANE Select	NC_000008.11	37962990	37966599	-
GeneID:156	ENSG00000173020.11	HGNC:289	GRK2	G protein-coupled receptor kinase 2	NM_001619.5	NP_001610.2	ENST00000308595.10	ENSP00000312262.5	MANE Select	NC_000011.10	67266473	67286556	+
GeneID:157	ENSG00000100077.16	HGNC:290	GRK3	G protein-coupled receptor kinase 3	NM_005160.4	NP_005151.2	ENST00000324198.11	ENSP00000317578.4	MANE Select	NC_000022.11	25564675	25729294	+
GeneID:158	ENSG00000239900.14	HGNC:291	ADSL	adenylosuccinate lyase	NM_000026.4	NP_000017.1	ENST00000623063.3	ENSP00000485525.1	MANE Select	NC_000022.11	40346500	40369367	+
GeneID:159	ENSG00000035687.10	HGNC:292	ADSS2	adenylosuccinate synthase 2	NM_001126.5	NP_001117.2	ENST00000366535.4	ENSP00000355493.3	MANE Select	NC_000001.11	244408494	244451909	-
GeneID:160	ENSG00000196961.13	HGNC:561	AP2A1	adaptor related protein complex 2 subunit alpha 1	NM_130787.3	NP_570603.2	ENST00000354293.10	ENSP00000346246.4	MANE Select	NC_000019.10	49767001	49807114	+
GeneID:161	ENSG00000183020.15	HGNC:562	AP2A2	adaptor related protein complex 2 subunit alpha 2	NM_012305.4	NP_036437.1	ENST00000448903.7	ENSP00000413234.3	MANE Select	NC_000011.10	925870	1012240	+
GeneID:162	ENSG00000100280.17	HGNC:554	AP1B1	adaptor related protein complex 1 subunit beta 1	NM_001127.4	NP_001118.3	ENST00000357586.7	ENSP00000350199.2	MANE Select	NC_000022.11	29327680	29388570	-
GeneID:163	ENSG00000006125.18	HGNC:563	AP2B1	adaptor related protein complex 2 subunit beta 1	NM_001030006.2	NP_001025177.1	ENST00000610402.5	ENSP00000483185.1	MANE Select	NC_000017.11	35587322	35726413	+
GeneID:164	ENSG00000166747.13	HGNC:555	AP1G1	adaptor related protein complex 1 subunit gamma 1	NM_001128.6	NP_001119.3	ENST00000299980.9	ENSP00000299980.4	MANE Select	NC_000016.10	71729000	71808834	-
GeneID:165	ENSG00000106624.11	HGNC:303	AEBP1	AE binding protein 1	NM_001129.5	NP_001120.3	ENST00000223357.8	ENSP00000223357.3	MANE Select	NC_000007.14	44104345	44114560	+
GeneID:166	ENSG00000104964.15	HGNC:307	TLE5	TLE family member 5, transcriptional modulator	NM_001130.6	NP_001121.2	ENST00000327141.9	ENSP00000317537.4	MANE Select	NC_000019.10	3052910	3062495	-
GeneID:167	ENSG00000124812.15	HGNC:304	CRISP1	cysteine rich secretory protein 1	NM_001131.3	NP_001122.2	ENST00000335847.9	ENSP00000338276.4	MANE Select	NC_000006.12	49834257	49866535	-
GeneID:173	ENSG00000079557.5	HGNC:316	AFM	afamin	NM_001133.2	NP_001124.1	ENST00000226355.5	ENSP00000226355.3	MANE Select	NC_000004.12	73481745	73504001	+
GeneID:174	ENSG00000081051.8	HGNC:317	AFP	alpha fetoprotein	NM_001134.3	NP_001125.1	ENST00000395792.7	ENSP00000379138.2	MANE Select	NC_000004.12	73436221	73456174	+
GeneID:175	ENSG00000038002.9	HGNC:318	AGA	aspartylglucosaminidase	NM_000027.4	NP_000018.2	ENST00000264595.7	ENSP00000264595.2	MANE Select	NC_000004.12	177430774	177442437	-
GeneID:176	ENSG00000157766.19	HGNC:319	ACAN	aggrecan	NM_001369268.1	NP_001356197.1	ENST00000560601.4	ENSP00000453581.2	MANE Select	NC_000015.10	88803436	88875353	+
GeneID:177	ENSG00000204305.16	HGNC:320	AGER	advanced glycosylation end-product specific receptor	NM_001136.5	NP_001127.1	ENST00000375076.9	ENSP00000364217.4	MANE Select	NC_000006.12	32180969	32184253	-
GeneID:178	ENSG00000162688.17	HGNC:321	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	NM_000642.3	NP_000633.2	ENST00000361915.8	ENSP00000355106.3	MANE Select	NC_000001.11	99850361	99924020	+
GeneID:181	ENSG00000159723.5	HGNC:330	AGRP	agouti related neuropeptide	NM_001138.2	NP_001129.1	ENST00000290953.3	ENSP00000290953.3	MANE Select	NC_000016.10	67482571	67483547	-
GeneID:182	ENSG00000101384.12	HGNC:6188	JAG1	jagged canonical Notch ligand 1	NM_000214.3	NP_000205.1	ENST00000254958.10	ENSP00000254958.4	MANE Select	NC_000020.11	10637684	10673999	-
GeneID:183	ENSG00000135744.9	HGNC:333	AGT	angiotensinogen	NM_001384479.1	NP_001371408.1	ENST00000366667.6	ENSP00000355627.5	MANE Select	NC_000001.11	230702523	230714122	-
GeneID:185	ENSG00000144891.19	HGNC:336	AGTR1	angiotensin II receptor type 1	NM_000685.5	NP_000676.1	ENST00000349243.8	ENSP00000273430.3	MANE Select	NC_000003.12	148697903	148743003	+
GeneID:186	ENSG00000180772.8	HGNC:338	AGTR2	angiotensin II receptor type 2	NM_000686.5	NP_000677.2	ENST00000371906.5	ENSP00000360973.4	MANE Select	NC_000023.11	116170744	116174974	+
